;Scopy version,dda5ec6
;Exported on,dinsdag januari 25/01/2022
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+08
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
443,-3.557e-05,2.55686,2.50294
444,-3.556e-05,2.52781,2.48841
445,-3.555e-05,2.52781,2.48841
446,-3.554e-05,2.55686,2.48841
447,-3.553e-05,2.52781,2.47389
448,-3.552e-05,2.54233,2.48841
449,-3.551e-05,2.54233,2.45936
450,-3.55e-05,2.55686,2.48841
451,-3.549e-05,2.54233,2.48841
452,-3.548e-05,2.55686,2.50294
453,-3.547e-05,2.52781,2.47389
454,-3.546e-05,2.54233,2.48841
455,-3.545e-05,2.57138,2.50294
456,-3.544e-05,2.58591,2.48841
457,-3.543e-05,2.54233,2.50294
458,-3.542e-05,2.54233,2.48841
459,-3.541e-05,2.54233,2.48841
460,-3.54e-05,2.55686,2.48841
461,-3.539e-05,2.52781,2.51746
462,-3.538e-05,2.51328,2.50294
463,-3.537e-05,2.52781,2.54651
464,-3.536e-05,2.52781,2.51746
465,-3.535e-05,2.54233,2.50294
466,-3.534e-05,2.52781,2.50294
467,-3.533e-05,2.52781,2.47389
468,-3.532e-05,2.54233,2.50294
469,-3.531e-05,2.54233,2.50294
470,-3.53e-05,2.54233,2.50294
471,-3.529e-05,2.55686,2.50294
472,-3.528e-05,2.55686,2.48841
473,-3.527e-05,2.52781,2.48841
474,-3.526e-05,2.52781,2.50294
475,-3.525e-05,2.54233,2.48841
476,-3.524e-05,2.54233,2.50294
477,-3.523e-05,2.52781,2.50294
478,-3.522e-05,2.54233,2.48841
479,-3.521e-05,2.51328,2.47389
480,-3.52e-05,2.54233,2.48841
481,-3.519e-05,2.52781,2.48841
482,-3.518e-05,2.52781,2.47389
483,-3.517e-05,2.54233,2.45936
484,-3.516e-05,2.52781,2.48841
485,-3.515e-05,2.48423,2.47389
486,-3.514e-05,2.52781,2.47389
487,-3.513e-05,2.48423,2.48841
488,-3.512e-05,2.54233,2.51746
489,-3.511e-05,2.55686,2.48841
490,-3.51e-05,2.52781,2.48841
491,-3.509e-05,2.52781,2.47389
492,-3.508e-05,2.54233,2.48841
493,-3.507e-05,2.54233,2.47389
494,-3.506e-05,2.52781,2.47389
495,-3.505e-05,2.52781,2.45936
496,-3.504e-05,2.52781,2.47389
497,-3.503e-05,2.52781,2.45936
498,-3.502e-05,2.52781,2.47389
499,-3.501e-05,2.51328,2.45936
500,-3.5e-05,2.55686,2.45936
501,-3.499e-05,2.54233,2.47389
502,-3.498e-05,2.55686,2.48841
503,-3.497e-05,2.52781,2.48841
504,-3.496e-05,2.54233,2.45936
505,-3.495e-05,2.55686,2.47389
506,-3.494e-05,2.55686,2.45936
507,-3.493e-05,2.52781,2.48841
508,-3.492e-05,2.54233,2.48841
509,-3.491e-05,2.52781,2.47389
510,-3.49e-05,2.52781,2.48841
511,-3.489e-05,2.52781,2.47389
512,-3.488e-05,2.55686,2.47389
513,-3.487e-05,2.52781,2.47389
514,-3.486e-05,2.54233,2.48841
515,-3.485e-05,2.54233,2.47389
516,-3.484e-05,2.54233,2.47389
517,-3.483e-05,2.54233,2.45936
518,-3.482e-05,2.55686,2.45936
519,-3.481e-05,2.55686,2.45936
520,-3.48e-05,2.55686,2.47389
521,-3.479e-05,2.52781,2.48841
522,-3.478e-05,2.54233,2.48841
523,-3.477e-05,2.52781,2.47389
524,-3.476e-05,2.54233,2.48841
525,-3.475e-05,2.55686,2.45936
526,-3.474e-05,2.55686,2.45936
527,-3.473e-05,2.54233,2.45936
528,-3.472e-05,2.52781,2.45936
529,-3.471e-05,2.54233,2.47389
530,-3.47e-05,2.54233,2.45936
531,-3.469e-05,2.54233,2.45936
532,-3.468e-05,2.54233,2.50294
533,-3.467e-05,2.54233,2.48841
534,-3.466e-05,2.55686,2.48841
535,-3.465e-05,2.52781,2.47389
536,-3.464e-05,2.55686,2.47389
537,-3.463e-05,2.54233,2.45936
538,-3.462e-05,2.55686,2.50294
539,-3.461e-05,2.54233,2.48841
540,-3.46e-05,2.54233,2.48841
541,-3.459e-05,2.52781,2.47389
542,-3.458e-05,2.55686,2.47389
543,-3.457e-05,2.54233,2.45936
544,-3.456e-05,2.52781,2.47389
545,-3.455e-05,2.52781,2.48841
546,-3.454e-05,2.52781,2.48841
547,-3.453e-05,2.52781,2.47389
548,-3.452e-05,2.54233,2.48841
549,-3.451e-05,2.51328,2.45936
550,-3.45e-05,2.52781,2.48841
551,-3.449e-05,2.51328,2.50294
552,-3.448e-05,2.54233,2.50294
553,-3.447e-05,2.54233,2.48841
554,-3.446e-05,2.52781,2.47389
555,-3.445e-05,2.52781,2.48841
556,-3.444e-05,2.55686,2.50294
557,-3.443e-05,2.54233,2.51746
558,-3.442e-05,2.51328,2.50294
559,-3.441e-05,2.51328,2.47389
560,-3.44e-05,2.55686,2.47389
561,-3.439e-05,2.52781,2.47389
562,-3.438e-05,2.52781,2.50294
563,-3.437e-05,2.51328,2.47389
564,-3.436e-05,2.54233,2.47389
565,-3.435e-05,2.55686,2.48841
566,-3.434e-05,2.57138,2.47389
567,-3.433e-05,2.51328,2.48841
568,-3.432e-05,2.54233,2.51746
569,-3.431e-05,2.52781,2.45936
570,-3.43e-05,2.51328,2.47389
571,-3.429e-05,2.54233,2.47389
572,-3.428e-05,2.55686,2.50294
