in s,C2 in V
-2.98242E-01,3.35028E+00
-2.98237E-01,3.35043E+00
-2.98232E-01,3.35074E+00
-2.98227E-01,3.34921E+00
-2.98222E-01,3.34830E+00
-2.98217E-01,3.34891E+00
-2.98212E-01,3.34906E+00
-2.98207E-01,3.34860E+00
-2.98202E-01,3.34799E+00
-2.98197E-01,3.34830E+00
-2.98192E-01,3.34860E+00
-2.98187E-01,3.34845E+00
-2.98182E-01,3.34799E+00
-2.98176E-01,3.34662E+00
-2.98171E-01,3.34570E+00
-2.98166E-01,3.34555E+00
-2.98161E-01,3.34631E+00
-2.98156E-01,3.34647E+00
-2.98151E-01,3.34647E+00
-2.98146E-01,3.34662E+00
-2.98141E-01,3.34662E+00
-2.98136E-01,3.34677E+00
-2.98131E-01,3.34860E+00
-2.98126E-01,3.34952E+00
-2.98121E-01,3.34860E+00
-2.98116E-01,3.34937E+00
-2.98111E-01,3.34967E+00
-2.98106E-01,3.34906E+00
-2.98101E-01,3.34921E+00
-2.98096E-01,3.34891E+00
-2.98091E-01,3.34998E+00
-2.98086E-01,3.34891E+00
-2.98081E-01,3.34982E+00
-2.98076E-01,3.35059E+00
-2.98071E-01,3.35028E+00
-2.98066E-01,3.35028E+00
-2.98061E-01,3.34998E+00
-2.98056E-01,3.35074E+00
-2.98050E-01,3.34921E+00
-2.98045E-01,3.34860E+00
-2.98040E-01,3.34784E+00
-2.98035E-01,3.34830E+00
-2.98030E-01,3.34799E+00
-2.98025E-01,3.34753E+00
-2.98020E-01,3.34753E+00
-2.98015E-01,3.34815E+00
-2.98010E-01,3.34830E+00
-2.98005E-01,3.34921E+00
-2.98000E-01,3.35043E+00
-2.97995E-01,3.35043E+00
-2.97990E-01,3.34921E+00
-2.97985E-01,3.35028E+00
-2.97980E-01,3.34982E+00
-2.97975E-01,3.35028E+00
-2.97970E-01,3.34982E+00
-2.97965E-01,3.34998E+00
-2.97960E-01,3.34937E+00
-2.97955E-01,3.35013E+00
-2.97950E-01,3.35181E+00
-2.97945E-01,3.35227E+00
-2.97940E-01,3.35303E+00
-2.97935E-01,3.35211E+00
-2.97930E-01,3.35104E+00
-2.97924E-01,3.35074E+00
-2.97919E-01,3.34998E+00
-2.97914E-01,3.35043E+00
-2.97909E-01,3.35028E+00
-2.97904E-01,3.34952E+00
-2.97899E-01,3.34876E+00
-2.97894E-01,3.34952E+00
-2.97889E-01,3.35028E+00
