in s,C1 in V
-1.0223E-01,-1.521E+01
-1.0223E-01,-1.448E+01
-1.0221E-01,-1.516E+01
-1.0221E-01,-1.438E+01
-1.0219E-01,-1.506E+01
-1.0219E-01,-1.428E+01
-1.0217E-01,-1.497E+01
-1.0217E-01,-1.418E+01
-1.0215E-01,-1.487E+01
-1.0215E-01,-1.414E+01
-1.0212E-01,-1.477E+01
-1.0212E-01,-1.399E+01
-1.0210E-01,-1.472E+01
-1.0210E-01,-1.389E+01
-1.0208E-01,-1.462E+01
-1.0208E-01,-1.384E+01
-1.0206E-01,-1.458E+01
-1.0206E-01,-1.375E+01
-1.0204E-01,-1.443E+01
-1.0204E-01,-1.365E+01
-1.0202E-01,-1.433E+01
-1.0202E-01,-1.350E+01
-1.0200E-01,-1.428E+01
-1.0200E-01,-1.335E+01
-1.0197E-01,-1.414E+01
-1.0197E-01,-1.326E+01
-1.0195E-01,-1.394E+01
-1.0195E-01,-1.311E+01
-1.0193E-01,-1.394E+01
-1.0193E-01,-1.296E+01
-1.0191E-01,-1.375E+01
-1.0191E-01,-1.292E+01
-1.0189E-01,-1.360E+01
-1.0189E-01,-1.272E+01
-1.0187E-01,-1.350E+01
-1.0187E-01,-1.257E+01
-1.0184E-01,-1.335E+01
-1.0184E-01,-1.243E+01
-1.0182E-01,-1.316E+01
-1.0182E-01,-1.228E+01
-1.0180E-01,-1.301E+01
-1.0180E-01,-1.208E+01
-1.0178E-01,-1.287E+01
-1.0178E-01,-1.199E+01
-1.0176E-01,-1.272E+01
-1.0176E-01,-1.189E+01
-1.0174E-01,-1.262E+01
-1.0174E-01,-1.174E+01
-1.0171E-01,-1.248E+01
-1.0171E-01,-1.160E+01
-1.0169E-01,-1.233E+01
-1.0169E-01,-1.145E+01
-1.0167E-01,-1.218E+01
-1.0167E-01,-1.130E+01
-1.0165E-01,-1.213E+01
-1.0165E-01,-1.116E+01
-1.0163E-01,-1.194E+01
-1.0163E-01,-1.111E+01
-1.0161E-01,-1.184E+01
-1.0161E-01,-1.101E+01
-1.0158E-01,-1.174E+01
-1.0158E-01,-1.086E+01
-1.0156E-01,-1.155E+01
-1.0156E-01,-1.077E+01
-1.0154E-01,-1.145E+01
-1.0154E-01,-1.057E+01
-1.0152E-01,-1.135E+01
-1.0152E-01,-1.052E+01
-1.0150E-01,-1.121E+01
-1.0150E-01,-1.042E+01
-1.0148E-01,-1.111E+01
-1.0148E-01,-1.033E+01
-1.0146E-01,-1.101E+01
-1.0146E-01,-1.023E+01
-1.0143E-01,-1.086E+01
-1.0143E-01,-1.008E+01
-1.0141E-01,-1.082E+01
-1.0141E-01,-9.985E+00
-1.0139E-01,-1.067E+01
-1.0139E-01,-9.888E+00
-1.0137E-01,-1.057E+01
-1.0137E-01,-9.741E+00
-1.0135E-01,-1.052E+01
-1.0135E-01,-9.595E+00
-1.0133E-01,-1.033E+01
-1.0133E-01,-9.546E+00
-1.0130E-01,-1.028E+01
-1.0130E-01,-9.448E+00
-1.0128E-01,-1.013E+01
-1.0128E-01,-9.204E+00
-1.0126E-01,-1.003E+01
-1.0126E-01,-9.155E+00
-1.0124E-01,-9.839E+00
-1.0124E-01,-9.106E+00
-1.0122E-01,-9.741E+00
-1.0122E-01,-9.009E+00
-1.0120E-01,-9.644E+00
-1.0120E-01,-8.862E+00
-1.0117E-01,-9.546E+00
-1.0117E-01,-8.813E+00
-1.0115E-01,-9.448E+00
-1.0115E-01,-8.667E+00
-1.0113E-01,-9.302E+00
-1.0113E-01,-8.569E+00
-1.0111E-01,-9.253E+00
-1.0111E-01,-8.423E+00
-1.0109E-01,-9.155E+00
-1.0109E-01,-8.374E+00
-1.0107E-01,-9.058E+00
-1.0107E-01,-8.228E+00
-1.0104E-01,-8.960E+00
-1.0104E-01,-8.081E+00
-1.0102E-01,-8.765E+00
-1.0102E-01,-7.935E+00
-1.0100E-01,-8.716E+00
-1.0100E-01,-7.837E+00
-1.0098E-01,-8.569E+00
-1.0098E-01,-7.690E+00
-1.0096E-01,-8.374E+00
-1.0096E-01,-7.593E+00
-1.0094E-01,-8.276E+00
-1.0094E-01,-7.446E+00
-1.0092E-01,-8.179E+00
-1.0092E-01,-7.349E+00
-1.0089E-01,-8.032E+00
-1.0089E-01,-7.202E+00
-1.0087E-01,-7.886E+00
-1.0087E-01,-7.056E+00
-1.0085E-01,-7.788E+00
-1.0085E-01,-6.909E+00
-1.0083E-01,-7.642E+00
-1.0083E-01,-6.812E+00
-1.0081E-01,-7.593E+00
-1.0081E-01,-6.714E+00
-1.0079E-01,-7.446E+00
-1.0079E-01,-6.567E+00
-1.0076E-01,-7.300E+00
-1.0076E-01,-6.421E+00
-1.0074E-01,-7.104E+00
-1.0074E-01,-6.274E+00
-1.0072E-01,-6.958E+00
-1.0072E-01,-6.079E+00
-1.0070E-01,-6.812E+00
-1.0070E-01,-5.981E+00
-1.0068E-01,-6.763E+00
-1.0068E-01,-5.786E+00
-1.0066E-01,-6.567E+00
-1.0066E-01,-5.591E+00
-1.0063E-01,-6.372E+00
-1.0063E-01,-5.396E+00
-1.0061E-01,-6.226E+00
-1.0061E-01,-5.249E+00
-1.0059E-01,-6.030E+00
-1.0059E-01,-5.054E+00
-1.0057E-01,-5.835E+00
-1.0057E-01,-4.858E+00
-1.0055E-01,-5.640E+00
-1.0055E-01,-4.712E+00
-1.0053E-01,-5.493E+00
-1.0053E-01,-4.517E+00
-1.0050E-01,-5.298E+00
-1.0050E-01,-4.321E+00
-1.0048E-01,-5.103E+00
-1.0048E-01,-4.175E+00
-1.0046E-01,-4.907E+00
-1.0046E-01,-3.931E+00
-1.0044E-01,-4.663E+00
-1.0044E-01,-3.784E+00
-1.0042E-01,-4.468E+00
-1.0042E-01,-3.540E+00
-1.0040E-01,-4.272E+00
-1.0040E-01,-3.296E+00
-1.0038E-01,-4.077E+00
-1.0038E-01,-3.149E+00
